SUCCESS	0x00000000
NO_USER_SESSION_KEY	0xc0000202
USER_SESSION_DELETED	0xc0000203
RESOURCE_LANG_NOT_FOUND	0xc0000204
INSUFF_SERVER_RESOURCES	0xc0000205
INVALID_BUFFER_SIZE	0xc0000206
INVALID_ADDRESS_COMPONENT	0xc0000207
INVALID_ADDRESS_WILDCARD	0xc0000208
TOO_MANY_ADDRESSES	0xc0000209
ADDRESS_ALREADY_EXISTS	0xc000020a
ADDRESS_CLOSED	0xc000020b
CONNECTION_DISCONNECTED	0xc000020c
CONNECTION_RESET	0xc000020d
TOO_MANY_NODES	0xc000020e
TRANSACTION_ABORTED	0xc000020f
TRANSACTION_TIMED_OUT	0xc0000210
TRANSACTION_NO_RELEASE	0xc0000211
TRANSACTION_NO_MATCH	0xc0000212
TRANSACTION_RESPONDED	0xc0000213
TRANSACTION_INVALID_ID	0xc0000214
TRANSACTION_INVALID_TYPE	0xc0000215
NOT_SERVER_SESSION	0xc0000216
NOT_CLIENT_SESSION	0xc0000217
CANNOT_LOAD_REGISTRY_FILE	0xc0000218
DEBUG_ATTACH_FAILED	0xc0000219
SYSTEM_PROCESS_TERMINATED	0xc000021a
DATA_NOT_ACCEPTED	0xc000021b
NO_BROWSER_SERVERS_FOUND	0xc000021c
VDM_HARD_ERROR	0xc000021d
DRIVER_CANCEL_TIMEOUT	0xc000021e
REPLY_MESSAGE_MISMATCH	0xc000021f
MAPPED_ALIGNMENT	0xc0000220
IMAGE_CHECKSUM_MISMATCH	0xc0000221
LOST_WRITEBEHIND_DATA	0xc0000222
CLIENT_SERVER_PARAMETERS_INVALID	0xc0000223
PASSWORD_MUST_CHANGE	0xc0000224
NOT_FOUND	0xc0000225
NOT_TINY_STREAM	0xc0000226
RECOVERY_FAILURE	0xc0000227
STACK_OVERFLOW_READ	0xc0000228
FAIL_CHECK	0xc0000229
DUPLICATE_OBJECTID	0xc000022a
OBJECTID_EXISTS	0xc000022b
CONVERT_TO_LARGE	0xc000022c
RETRY	0xc000022d
FOUND_OUT_OF_SCOPE	0xc000022e
ALLOCATE_BUCKET	0xc000022f
PROPSET_NOT_FOUND	0xc0000230
MARSHALL_OVERFLOW	0xc0000231
INVALID_VARIANT	0xc0000232
DOMAIN_CONTROLLER_NOT_FOUND	0xc0000233
ACCOUNT_LOCKED_OUT	0xc0000234
HANDLE_NOT_CLOSABLE	0xc0000235
CONNECTION_REFUSED	0xc0000236
GRACEFUL_DISCONNECT	0xc0000237
ADDRESS_ALREADY_ASSOCIATED	0xc0000238
ADDRESS_NOT_ASSOCIATED	0xc0000239
CONNECTION_INVALID	0xc000023a
CONNECTION_ACTIVE	0xc000023b
NETWORK_UNREACHABLE	0xc000023c
HOST_UNREACHABLE	0xc000023d
PROTOCOL_UNREACHABLE	0xc000023e
PORT_UNREACHABLE	0xc000023f
REQUEST_ABORTED	0xc0000240
CONNECTION_ABORTED	0xc0000241
BAD_COMPRESSION_BUFFER	0xc0000242
USER_MAPPED_FILE	0xc0000243
AUDIT_FAILED	0xc0000244
TIMER_RESOLUTION_NOT_SET	0xc0000245
CONNECTION_COUNT_LIMIT	0xc0000246
LOGIN_TIME_RESTRICTION	0xc0000247
LOGIN_WKSTA_RESTRICTION	0xc0000248
IMAGE_MP_UP_MISMATCH	0xc0000249
INSUFFICIENT_LOGON_INFO	0xc0000250
BAD_DLL_ENTRYPOINT	0xc0000251
BAD_SERVICE_ENTRYPOINT	0xc0000252
LPC_REPLY_LOST	0xc0000253
IP_ADDRESS_CONFLICT1	0xc0000254
IP_ADDRESS_CONFLICT2	0xc0000255
REGISTRY_QUOTA_LIMIT	0xc0000256
PATH_NOT_COVERED	0xc0000257
NO_CALLBACK_ACTIVE	0xc0000258
LICENSE_QUOTA_EXCEEDED	0xc0000259
PWD_TOO_SHORT	0xc000025a
PWD_TOO_RECENT	0xc000025b
PWD_HISTORY_CONFLICT	0xc000025c
PLUGPLAY_NO_DEVICE	0xc000025e
UNSUPPORTED_COMPRESSION	0xc000025f
INVALID_HW_PROFILE	0xc0000260
INVALID_PLUGPLAY_DEVICE_PATH	0xc0000261
DRIVER_ORDINAL_NOT_FOUND	0xc0000262
DRIVER_ENTRYPOINT_NOT_FOUND	0xc0000263
RESOURCE_NOT_OWNED	0xc0000264
TOO_MANY_LINKS	0xc0000265
QUOTA_LIST_INCONSISTENT	0xc0000266
FILE_IS_OFFLINE	0xc0000267
EVALUATION_EXPIRATION	0xc0000268
ILLEGAL_DLL_RELOCATION	0xc0000269
LICENSE_VIOLATION	0xc000026a
DLL_INIT_FAILED_LOGOFF	0xc000026b
DRIVER_UNABLE_TO_LOAD	0xc000026c
DFS_UNAVAILABLE	0xc000026d
VOLUME_DISMOUNTED	0xc000026e
WX86_INTERNAL_ERROR	0xc000026f
WX86_FLOAT_STACK_CHECK	0xc0000270
VALIDATE_CONTINUE	0xc0000271
NO_MATCH	0xc0000272
NO_MORE_MATCHES	0xc0000273
NOT_A_REPARSE_POINT	0xc0000275
IO_REPARSE_TAG_INVALID	0xc0000276
IO_REPARSE_TAG_MISMATCH	0xc0000277
IO_REPARSE_DATA_INVALID	0xc0000278
IO_REPARSE_TAG_NOT_HANDLED	0xc0000279
REPARSE_POINT_NOT_RESOLVED	0xc0000280
DIRECTORY_IS_A_REPARSE_POINT	0xc0000281
RANGE_LIST_CONFLICT	0xc0000282
SOURCE_ELEMENT_EMPTY	0xc0000283
DESTINATION_ELEMENT_FULL	0xc0000284
ILLEGAL_ELEMENT_ADDRESS	0xc0000285
MAGAZINE_NOT_PRESENT	0xc0000286
REINITIALIZATION_NEEDED	0xc0000287
ENCRYPTION_FAILED	0xc000028a
DECRYPTION_FAILED	0xc000028b
RANGE_NOT_FOUND	0xc000028c
NO_RECOVERY_POLICY	0xc000028d
NO_EFS	0xc000028e
WRONG_EFS	0xc000028f
NO_USER_KEYS	0xc0000290
FILE_NOT_ENCRYPTED	0xc0000291
NOT_EXPORT_FORMAT	0xc0000292
FILE_ENCRYPTED	0xc0000293
WMI_GUID_NOT_FOUND	0xc0000295
WMI_INSTANCE_NOT_FOUND	0xc0000296
WMI_ITEMID_NOT_FOUND	0xc0000297
WMI_TRY_AGAIN	0xc0000298
SHARED_POLICY	0xc0000299
POLICY_OBJECT_NOT_FOUND	0xc000029a
POLICY_ONLY_IN_DS	0xc000029b
VOLUME_NOT_UPGRADED	0xc000029c
REMOTE_STORAGE_NOT_ACTIVE	0xc000029d
REMOTE_STORAGE_MEDIA_ERROR	0xc000029e
NO_TRACKING_SERVICE	0xc000029f
SERVER_SID_MISMATCH	0xc00002a0
DS_NO_ATTRIBUTE_OR_VALUE	0xc00002a1
DS_INVALID_ATTRIBUTE_SYNTAX	0xc00002a2
DS_ATTRIBUTE_TYPE_UNDEFINED	0xc00002a3
DS_ATTRIBUTE_OR_VALUE_EXISTS	0xc00002a4
DS_BUSY	0xc00002a5
DS_UNAVAILABLE	0xc00002a6
DS_NO_RIDS_ALLOCATED	0xc00002a7
DS_NO_MORE_RIDS	0xc00002a8
DS_INCORRECT_ROLE_OWNER	0xc00002a9
DS_RIDMGR_INIT_ERROR	0xc00002aa
DS_OBJ_CLASS_VIOLATION	0xc00002ab
DS_CANT_ON_NON_LEAF	0xc00002ac
DS_CANT_ON_RDN	0xc00002ad
DS_CANT_MOD_OBJ_CLASS	0xc00002ae
DS_CROSS_DOM_MOVE_FAILED	0xc00002af
DS_GC_NOT_AVAILABLE	0xc00002b0
DIRECTORY_SERVICE_REQUIRED	0xc00002b1
REPARSE_ATTRIBUTE_CONFLICT	0xc00002b2
CANT_ENABLE_DENY_ONLY	0xc00002b3
FLOAT_MULTIPLE_FAULTS	0xc00002b4
FLOAT_MULTIPLE_TRAPS	0xc00002b5
DEVICE_REMOVED	0xc00002b6
JOURNAL_DELETE_IN_PROGRESS	0xc00002b7
JOURNAL_NOT_ACTIVE	0xc00002b8
NOINTERFACE	0xc00002b9
DS_ADMIN_LIMIT_EXCEEDED	0xc00002c1
DRIVER_FAILED_SLEEP	0xc00002c2
MUTUAL_AUTHENTICATION_FAILED	0xc00002c3
CORRUPT_SYSTEM_FILE	0xc00002c4
DATATYPE_MISALIGNMENT_ERROR	0xc00002c5
WMI_READ_ONLY	0xc00002c6
WMI_SET_FAILURE	0xc00002c7
COMMITMENT_MINIMUM	0xc00002c8
REG_NAT_CONSUMPTION	0xc00002c9
TRANSPORT_FULL	0xc00002ca
DS_SAM_INIT_FAILURE	0xc00002cb
ONLY_IF_CONNECTED	0xc00002cc
DS_SENSITIVE_GROUP_VIOLATION	0xc00002cd
PNP_RESTART_ENUMERATION	0xc00002ce
JOURNAL_ENTRY_DELETED	0xc00002cf
DS_CANT_MOD_PRIMARYGROUPID	0xc00002d0
SYSTEM_IMAGE_BAD_SIGNATURE	0xc00002d1
PNP_REBOOT_REQUIRED	0xc00002d2
POWER_STATE_INVALID	0xc00002d3
DS_INVALID_GROUP_TYPE	0xc00002d4
DS_NO_NEST_GLOBALGROUP_IN_MIXEDDOMAIN	0xc00002d5
DS_NO_NEST_LOCALGROUP_IN_MIXEDDOMAIN	0xc00002d6
DS_GLOBAL_CANT_HAVE_LOCAL_MEMBER	0xc00002d7
DS_GLOBAL_CANT_HAVE_UNIVERSAL_MEMBER	0xc00002d8
DS_UNIVERSAL_CANT_HAVE_LOCAL_MEMBER	0xc00002d9
DS_GLOBAL_CANT_HAVE_CROSSDOMAIN_MEMBER	0xc00002da
DS_LOCAL_CANT_HAVE_CROSSDOMAIN_LOCAL_MEMBER	0xc00002db
DS_HAVE_PRIMARY_MEMBERS	0xc00002dc
WMI_NOT_SUPPORTED	0xc00002dd
INSUFFICIENT_POWER	0xc00002de
SAM_NEED_BOOTKEY_PASSWORD	0xc00002df
SAM_NEED_BOOTKEY_FLOPPY	0xc00002e0
DS_CANT_START	0xc00002e1
DS_INIT_FAILURE	0xc00002e2
SAM_INIT_FAILURE	0xc00002e3
DS_GC_REQUIRED	0xc00002e4
DS_LOCAL_MEMBER_OF_LOCAL_ONLY	0xc00002e5
DS_NO_FPO_IN_UNIVERSAL_GROUPS	0xc00002e6
DS_MACHINE_ACCOUNT_QUOTA_EXCEEDED	0xc00002e7
MULTIPLE_FAULT_VIOLATION	0xc00002e8
CURRENT_DOMAIN_NOT_ALLOWED	0xc00002e9
CANNOT_MAKE	0xc00002ea
SYSTEM_SHUTDOWN	0xc00002eb
DS_INIT_FAILURE_CONSOLE	0xc00002ec
DS_SAM_INIT_FAILURE_CONSOLE	0xc00002ed
UNFINISHED_CONTEXT_DELETED	0xc00002ee
NO_TGT_REPLY	0xc00002ef
OBJECTID_NOT_FOUND	0xc00002f0
NO_IP_ADDRESSES	0xc00002f1
WRONG_CREDENTIAL_HANDLE	0xc00002f2
CRYPTO_SYSTEM_INVALID	0xc00002f3
MAX_REFERRALS_EXCEEDED	0xc00002f4
MUST_BE_KDC	0xc00002f5
STRONG_CRYPTO_NOT_SUPPORTED	0xc00002f6
TOO_MANY_PRINCIPALS	0xc00002f7
NO_PA_DATA	0xc00002f8
PKINIT_NAME_MISMATCH	0xc00002f9
SMARTCARD_LOGON_REQUIRED	0xc00002fa
KDC_INVALID_REQUEST	0xc00002fb
KDC_UNABLE_TO_REFER	0xc00002fc
KDC_UNKNOWN_ETYPE	0xc00002fd
SHUTDOWN_IN_PROGRESS	0xc00002fe
SERVER_SHUTDOWN_IN_PROGRESS	0xc00002ff
NOT_SUPPORTED_ON_SBS	0xc0000300
WMI_GUID_DISCONNECTED	0xc0000301
WMI_ALREADY_DISABLED	0xc0000302
WMI_ALREADY_ENABLED	0xc0000303
MFT_TOO_FRAGMENTED	0xc0000304
COPY_PROTECTION_FAILURE	0xc0000305
CSS_AUTHENTICATION_FAILURE	0xc0000306
CSS_KEY_NOT_PRESENT	0xc0000307
CSS_KEY_NOT_ESTABLISHED	0xc0000308
CSS_SCRAMBLED_SECTOR	0xc0000309
CSS_REGION_MISMATCH	0xc000030a
CSS_RESETS_EXHAUSTED	0xc000030b
PKINIT_FAILURE	0xc0000320
SMARTCARD_SUBSYSTEM_FAILURE	0xc0000321
NO_KERB_KEY	0xc0000322
HOST_DOWN	0xc0000350
UNSUPPORTED_PREAUTH	0xc0000351
EFS_ALG_BLOB_TOO_BIG	0xc0000352
PORT_NOT_SET	0xc0000353
DEBUGGER_INACTIVE	0xc0000354
DS_VERSION_CHECK_FAILURE	0xc0000355
AUDITING_DISABLED	0xc0000356
PRENT4_MACHINE_ACCOUNT	0xc0000357
DS_AG_CANT_HAVE_UNIVERSAL_MEMBER	0xc0000358
INVALID_IMAGE_WIN_32	0xc0000359
INVALID_IMAGE_WIN_64	0xc000035a
BAD_BINDINGS	0xc000035b
NETWORK_SESSION_EXPIRED	0xc000035c
APPHELP_BLOCK	0xc000035d
ALL_SIDS_FILTERED	0xc000035e
NOT_SAFE_MODE_DRIVER	0xc000035f
ACCESS_DISABLED_BY_POLICY_DEFAULT	0xc0000361
ACCESS_DISABLED_BY_POLICY_PATH	0xc0000362
ACCESS_DISABLED_BY_POLICY_PUBLISHER	0xc0000363
ACCESS_DISABLED_BY_POLICY_OTHER	0xc0000364
FAILED_DRIVER_ENTRY	0xc0000365
DEVICE_ENUMERATION_ERROR	0xc0000366
MOUNT_POINT_NOT_RESOLVED	0xc0000368
INVALID_DEVICE_OBJECT_PARAMETER	0xc0000369
MCA_OCCURED	0xc000036a
DRIVER_BLOCKED_CRITICAL	0xc000036b
DRIVER_BLOCKED	0xc000036c
DRIVER_DATABASE_ERROR	0xc000036d
SYSTEM_HIVE_TOO_LARGE	0xc000036e
INVALID_IMPORT_OF_NON_DLL	0xc000036f
NO_SECRETS	0xc0000371
ACCESS_DISABLED_NO_SAFER_UI_BY_POLICY	0xc0000372
FAILED_STACK_SWITCH	0xc0000373
HEAP_CORRUPTION	0xc0000374
SMARTCARD_WRONG_PIN	0xc0000380
SMARTCARD_CARD_BLOCKED	0xc0000381
SMARTCARD_CARD_NOT_AUTHENTICATED	0xc0000382
SMARTCARD_NO_CARD	0xc0000383
SMARTCARD_NO_KEY_CONTAINER	0xc0000384
SMARTCARD_NO_CERTIFICATE	0xc0000385
SMARTCARD_NO_KEYSET	0xc0000386
SMARTCARD_IO_ERROR	0xc0000387
DOWNGRADE_DETECTED	0xc0000388
SMARTCARD_CERT_REVOKED	0xc0000389
ISSUING_CA_UNTRUSTED	0xc000038a
REVOCATION_OFFLINE_C	0xc000038b
PKINIT_CLIENT_FAILURE	0xc000038c
SMARTCARD_CERT_EXPIRED	0xc000038d
DRIVER_FAILED_PRIOR_UNLOAD	0xc000038e
SMARTCARD_SILENT_CONTEXT	0xc000038f
PER_USER_TRUST_QUOTA_EXCEEDED	0xc0000401
ALL_USER_TRUST_QUOTA_EXCEEDED	0xc0000402
USER_DELETE_TRUST_QUOTA_EXCEEDED	0xc0000403
DS_NAME_NOT_UNIQUE	0xc0000404
DS_DUPLICATE_ID_FOUND	0xc0000405
DS_GROUP_CONVERSION_ERROR	0xc0000406
VOLSNAP_PREPARE_HIBERNATE	0xc0000407
USER2USER_REQUIRED	0xc0000408
STACK_BUFFER_OVERRUN	0xc0000409
NO_S4U_PROT_SUPPORT	0xc000040a
CROSSREALM_DELEGATION_FAILURE	0xc000040b
REVOCATION_OFFLINE_KDC	0xc000040c
ISSUING_CA_UNTRUSTED_KDC	0xc000040d
KDC_CERT_EXPIRED	0xc000040e
KDC_CERT_REVOKED	0xc000040f
PARAMETER_QUOTA_EXCEEDED	0xc0000410
HIBERNATION_FAILURE	0xc0000411
DELAY_LOAD_FAILED	0xc0000412
AUTHENTICATION_FIREWALL_FAILED	0xc0000413
VDM_DISALLOWED	0xc0000414
HUNG_DISPLAY_DRIVER_THREAD	0xc0000415
INSUFFICIENT_RESOURCE_FOR_SPECIFIED_SHARED_SECTION_SIZE	0xc0000416
INVALID_CRUNTIME_PARAMETER	0xc0000417
NTLM_BLOCKED	0xc0000418
DS_SRC_SID_EXISTS_IN_FOREST	0xc0000419
DS_DOMAIN_NAME_EXISTS_IN_FOREST	0xc000041a
DS_FLAT_NAME_EXISTS_IN_FOREST	0xc000041b
INVALID_USER_PRINCIPAL_NAME	0xc000041c
FATAL_USER_CALLBACK_EXCEPTION	0xc000041d
ASSERTION_FAILURE	0xc0000420
VERIFIER_STOP	0xc0000421
CALLBACK_POP_STACK	0xc0000423
INCOMPATIBLE_DRIVER_BLOCKED	0xc0000424
HIVE_UNLOADED	0xc0000425
COMPRESSION_DISABLED	0xc0000426
FILE_SYSTEM_LIMITATION	0xc0000427
INVALID_IMAGE_HASH	0xc0000428
NOT_CAPABLE	0xc0000429
REQUEST_OUT_OF_SEQUENCE	0xc000042a
IMPLEMENTATION_LIMIT	0xc000042b
ELEVATION_REQUIRED	0xc000042c
NO_SECURITY_CONTEXT	0xc000042d
PKU2U_CERT_FAILURE	0xc000042e
BEYOND_VDL	0xc0000432
ENCOUNTERED_WRITE_IN_PROGRESS	0xc0000433
PTE_CHANGED	0xc0000434
PURGE_FAILED	0xc0000435
CRED_REQUIRES_CONFIRMATION	0xc0000440
CS_ENCRYPTION_INVALID_SERVER_RESPONSE	0xc0000441
CS_ENCRYPTION_UNSUPPORTED_SERVER	0xc0000442
CS_ENCRYPTION_EXISTING_ENCRYPTED_FILE	0xc0000443
CS_ENCRYPTION_NEW_ENCRYPTED_FILE	0xc0000444
CS_ENCRYPTION_FILE_NOT_CSE	0xc0000445
INVALID_LABEL	0xc0000446
DRIVER_PROCESS_TERMINATED	0xc0000450
AMBIGUOUS_SYSTEM_DEVICE	0xc0000451
SYSTEM_DEVICE_NOT_FOUND	0xc0000452
RESTART_BOOT_APPLICATION	0xc0000453
INSUFFICIENT_NVRAM_RESOURCES	0xc0000454
NO_RANGES_PROCESSED	0xc0000460
DEVICE_FEATURE_NOT_SUPPORTED	0xc0000463
DEVICE_UNREACHABLE	0xc0000464
INVALID_TOKEN	0xc0000465
FILE_NOT_AVAILABLE	0xc0000467
INVALID_TASK_NAME	0xc0000500
INVALID_TASK_INDEX	0xc0000501
THREAD_ALREADY_IN_TASK	0xc0000502
CALLBACK_BYPASS	0xc0000503
FAIL_FAST_EXCEPTION	0xc0000602
IMAGE_CERT_REVOKED	0xc0000603
PORT_CLOSED	0xc0000700
MESSAGE_LOST	0xc0000701
INVALID_MESSAGE	0xc0000702
REQUEST_CANCELED	0xc0000703
RECURSIVE_DISPATCH	0xc0000704
LPC_RECEIVE_BUFFER_EXPECTED	0xc0000705
LPC_INVALID_CONNECTION_USAGE	0xc0000706
LPC_REQUESTS_NOT_ALLOWED	0xc0000707
RESOURCE_IN_USE	0xc0000708
HARDWARE_MEMORY_ERROR	0xc0000709
THREADPOOL_HANDLE_EXCEPTION	0xc000070a
THREADPOOL_SET_EVENT_ON_COMPLETION_FAILED	0xc000070b
THREADPOOL_RELEASE_SEMAPHORE_ON_COMPLETION_FAILED	0xc000070c
THREADPOOL_RELEASE_MUTEX_ON_COMPLETION_FAILED	0xc000070d
THREADPOOL_FREE_LIBRARY_ON_COMPLETION_FAILED	0xc000070e
THREADPOOL_RELEASED_DURING_OPERATION	0xc000070f
CALLBACK_RETURNED_WHILE_IMPERSONATING	0xc0000710
APC_RETURNED_WHILE_IMPERSONATING	0xc0000711
PROCESS_IS_PROTECTED	0xc0000712
MCA_EXCEPTION	0xc0000713
CERTIFICATE_MAPPING_NOT_UNIQUE	0xc0000714
SYMLINK_CLASS_DISABLED	0xc0000715
INVALID_IDN_NORMALIZATION	0xc0000716
NO_UNICODE_TRANSLATION	0xc0000717
ALREADY_REGISTERED	0xc0000718
CONTEXT_MISMATCH	0xc0000719
PORT_ALREADY_HAS_COMPLETION_LIST	0xc000071a
CALLBACK_RETURNED_THREAD_PRIORITY	0xc000071b
INVALID_THREAD	0xc000071c
CALLBACK_RETURNED_TRANSACTION	0xc000071d
CALLBACK_RETURNED_LDR_LOCK	0xc000071e
CALLBACK_RETURNED_LANG	0xc000071f
CALLBACK_RETURNED_PRI_BACK	0xc0000720
CALLBACK_RETURNED_THREAD_AFFINITY	0xc0000721
DISK_REPAIR_DISABLED	0xc0000800
DS_DOMAIN_RENAME_IN_PROGRESS	0xc0000801
DISK_QUOTA_EXCEEDED	0xc0000802
CONTENT_BLOCKED	0xc0000804
BAD_CLUSTERS	0xc0000805
VOLUME_DIRTY	0xc0000806
FILE_CHECKED_OUT	0xc0000901
CHECKOUT_REQUIRED	0xc0000902
BAD_FILE_TYPE	0xc0000903
FILE_TOO_LARGE	0xc0000904
FORMS_AUTH_REQUIRED	0xc0000905
VIRUS_INFECTED	0xc0000906
VIRUS_DELETED	0xc0000907
BAD_MCFG_TABLE	0xc0000908
CANNOT_BREAK_OPLOCK	0xc0000909
WOW_ASSERTION	0xc0009898
INVALID_SIGNATURE	0xc000a000
HMAC_NOT_SUPPORTED	0xc000a001
IPSEC_QUEUE_OVERFLOW	0xc000a010
ND_QUEUE_OVERFLOW	0xc000a011
HOPLIMIT_EXCEEDED	0xc000a012
PROTOCOL_NOT_SUPPORTED	0xc000a013
LOST_WRITEBEHIND_DATA_NETWORK_DISCONNECTED	0xc000a080
LOST_WRITEBEHIND_DATA_NETWORK_SERVER_ERROR	0xc000a081
LOST_WRITEBEHIND_DATA_LOCAL_DISK_ERROR	0xc000a082
XML_PARSE_ERROR	0xc000a083
XMLDSIG_ERROR	0xc000a084
WRONG_COMPARTMENT	0xc000a085
AUTHIP_FAILURE	0xc000a086
DS_OID_MAPPED_GROUP_CANT_HAVE_MEMBERS	0xc000a087
DS_OID_NOT_FOUND	0xc000a088
HASH_NOT_SUPPORTED	0xc000a100
HASH_NOT_PRESENT	0xc000a101
OFFLOAD_READ_FLT_NOT_SUPPORTED	0xc000a2a1
OFFLOAD_WRITE_FLT_NOT_SUPPORTED	0xc000a2a2
OFFLOAD_READ_FILE_NOT_SUPPORTED	0xc000a2a3
OFFLOAD_WRITE_FILE_NOT_SUPPORTED	0xc000a2a4
NO_STATE_CHANGE	0xc0010001
APP_NOT_IDLE	0xc0010002
NT_INVALID_STRING_BINDING	0xc0020001
NT_WRONG_KIND_OF_BINDING	0xc0020002
NT_INVALID_BINDING	0xc0020003
NT_PROTSEQ_NOT_SUPPORTED	0xc0020004
NT_INVALID_RPC_PROTSEQ	0xc0020005
NT_INVALID_STRING_UUID	0xc0020006
NT_INVALID_ENDPOINT_FORMAT	0xc0020007
NT_INVALID_NET_ADDR	0xc0020008
NT_NO_ENDPOINT_FOUND	0xc0020009
NT_INVALID_TIMEOUT	0xc002000a
NT_OBJECT_NOT_FOUND	0xc002000b
NT_ALREADY_REGISTERED	0xc002000c
NT_TYPE_ALREADY_REGISTERED	0xc002000d
NT_ALREADY_LISTENING	0xc002000e
NT_NO_PROTSEQS_REGISTERED	0xc002000f
NT_NOT_LISTENING	0xc0020010
NT_UNKNOWN_MGR_TYPE	0xc0020011
NT_UNKNOWN_IF	0xc0020012
NT_NO_BINDINGS	0xc0020013
NT_NO_PROTSEQS	0xc0020014
NT_CANT_CREATE_ENDPOINT	0xc0020015
NT_OUT_OF_RESOURCES	0xc0020016
NT_SERVER_UNAVAILABLE	0xc0020017
NT_SERVER_TOO_BUSY	0xc0020018
NT_INVALID_NETWORK_OPTIONS	0xc0020019
NT_NO_CALL_ACTIVE	0xc002001a
NT_CALL_FAILED	0xc002001b
NT_CALL_FAILED_DNE	0xc002001c
NT_PROTOCOL_ERROR	0xc002001d
NT_UNSUPPORTED_TRANS_SYN	0xc002001f
NT_UNSUPPORTED_TYPE	0xc0020021
NT_INVALID_TAG	0xc0020022
NT_INVALID_BOUND	0xc0020023
NT_NO_ENTRY_NAME	0xc0020024
NT_INVALID_NAME_SYNTAX	0xc0020025
NT_UNSUPPORTED_NAME_SYNTAX	0xc0020026
NT_UUID_NO_ADDRESS	0xc0020028
NT_DUPLICATE_ENDPOINT	0xc0020029
NT_UNKNOWN_AUTHN_TYPE	0xc002002a
NT_MAX_CALLS_TOO_SMALL	0xc002002b
NT_STRING_TOO_LONG	0xc002002c
NT_PROTSEQ_NOT_FOUND	0xc002002d
NT_PROCNUM_OUT_OF_RANGE	0xc002002e
NT_BINDING_HAS_NO_AUTH	0xc002002f
NT_UNKNOWN_AUTHN_SERVICE	0xc0020030
NT_UNKNOWN_AUTHN_LEVEL	0xc0020031
NT_INVALID_AUTH_IDENTITY	0xc0020032
NT_UNKNOWN_AUTHZ_SERVICE	0xc0020033
NT_INVALID_ENTRY	0xc0020034
NT_CANT_PERFORM_OP	0xc0020035
NT_NOT_REGISTERED	0xc0020036
NT_NOTHING_TO_EXPORT	0xc0020037
NT_INCOMPLETE_NAME	0xc0020038
NT_INVALID_VERS_OPTION	0xc0020039
NT_NO_MORE_MEMBERS	0xc002003a
NT_NOT_ALL_OBJS_UNEXPORTED	0xc002003b
NT_INTERFACE_NOT_FOUND	0xc002003c
NT_ENTRY_ALREADY_EXISTS	0xc002003d
NT_ENTRY_NOT_FOUND	0xc002003e
NT_NAME_SERVICE_UNAVAILABLE	0xc002003f
NT_INVALID_NAF_ID	0xc0020040
NT_CANNOT_SUPPORT	0xc0020041
NT_NO_CONTEXT_AVAILABLE	0xc0020042
NT_INTERNAL_ERROR	0xc0020043
NT_ZERO_DIVIDE	0xc0020044
NT_ADDRESS_ERROR	0xc0020045
NT_FP_DIV_ZERO	0xc0020046
NT_FP_UNDERFLOW	0xc0020047
NT_FP_OVERFLOW	0xc0020048
NT_CALL_IN_PROGRESS	0xc0020049
NT_NO_MORE_BINDINGS	0xc002004a
NT_GROUP_MEMBER_NOT_FOUND	0xc002004b
NT_CANT_CREATE	0xc002004c
NT_INVALID_OBJECT	0xc002004d
NT_NO_INTERFACES	0xc002004f
NT_CALL_CANCELLED	0xc0020050
NT_BINDING_INCOMPLETE	0xc0020051
NT_COMM_FAILURE	0xc0020052
NT_UNSUPPORTED_AUTHN_LEVEL	0xc0020053
NT_NO_PRINC_NAME	0xc0020054
NT_NOT_RPC_ERROR	0xc0020055
NT_SEC_PKG_ERROR	0xc0020057
NT_NOT_CANCELLED	0xc0020058
NT_INVALID_ASYNC_HANDLE	0xc0020062
NT_INVALID_ASYNC_CALL	0xc0020063
NT_PROXY_ACCESS_DENIED	0xc0020064
NT_NO_MORE_ENTRIES	0xc0030001
NT_SS_CHAR_TRANS_OPEN_FAIL	0xc0030002
NT_SS_CHAR_TRANS_SHORT_FILE	0xc0030003
NT_SS_IN_NULL_CONTEXT	0xc0030004
NT_SS_CONTEXT_MISMATCH	0xc0030005
NT_SS_CONTEXT_DAMAGED	0xc0030006
NT_SS_HANDLES_MISMATCH	0xc0030007
NT_SS_CANNOT_GET_CALL_HANDLE	0xc0030008
NT_NULL_REF_POINTER	0xc0030009
NT_ENUM_VALUE_OUT_OF_RANGE	0xc003000a
NT_BYTE_COUNT_TOO_SMALL	0xc003000b
NT_BAD_STUB_DATA	0xc003000c
NT_INVALID_ES_ACTION	0xc0030059
NT_WRONG_ES_VERSION	0xc003005a
NT_WRONG_STUB_VERSION	0xc003005b
NT_INVALID_PIPE_OBJECT	0xc003005c
NT_INVALID_PIPE_OPERATION	0xc003005d
NT_WRONG_PIPE_VERSION	0xc003005e
NT_PIPE_CLOSED	0xc003005f
NT_PIPE_DISCIPLINE_ERROR	0xc0030060
NT_PIPE_EMPTY	0xc0030061
PNP_BAD_MPS_TABLE	0xc0040035
PNP_TRANSLATION_FAILED	0xc0040036
PNP_IRQ_TRANSLATION_FAILED	0xc0040037
PNP_INVALID_ID	0xc0040038
IO_REISSUE_AS_CACHED	0xc0040039
CTX_WINSTATION_NAME_INVALID	0xc00a0001
CTX_INVALID_PD	0xc00a0002
CTX_PD_NOT_FOUND	0xc00a0003
